yy,gear,area,flag,lat_short,lon_short,school,alb_mt,bet_mt,skj_mt,yft_mt,lat5,lon5
2000,S,EN,ES,15N,050W,-9,0,0,0,0,17.5,312.5
2000,S,EN,ES,10N,055W,-9,0,0,0,0,12.5,307.5
2000,S,EN,ES,10N,060W,-9,0,0,0,0,12.5,302.5
2000,S,EN,ES,10N,065W,-9,0,0,0,0,12.5,297.5
2000,S,EN,ES,10N,070W,-9,0,0,0,0,12.5,292.5
2010,S,EN,EP,00N,075W,-9,0,0,0,0,2.5,287.5
2000,S,EN,ES,10N,075W,-9,0,0,0,0,12.5,287.5
2009,S,ES,EC,20S,075W,-9,0,0,0,0,-17.5,287.5
2005,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2006,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2007,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2008,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2009,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2010,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2011,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2012,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2013,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2014,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2015,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2016,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2017,S,ES,EP,20S,075W,-9,0,0,0,0,-17.5,287.5
2017,S,ES,US,20S,075W,-9,0,0,0,0,-17.5,287.5
2007,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2009,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2010,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2011,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2012,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2013,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2014,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2015,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2016,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2017,S,ES,EP,25S,075W,-9,0,0,0,0,-22.5,287.5
2000,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2001,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2002,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2003,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2004,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2005,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2006,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2007,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2008,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2009,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2010,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2011,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2012,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2013,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2014,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2015,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2016,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2017,S,EN,EP,00N,080W,-9,0,0,0,0,2.5,282.5
2010,S,EN,ES,00N,080W,-9,0,0,0,0,2.5,282.5
2000,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2001,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2002,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2003,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2004,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2005,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2006,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2007,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2008,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2009,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2010,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2011,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2012,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
2013,S,EN,EP,05N,080W,-9,0,0,0,0,7.5,282.5
